Days since 2019 January 1,Cents per litre (CAN$?)
-560.000000,105.700000
-559.000000,105.000000
-558.000000,104.700000
-557.000000,104.100000
-554.000000,105.700000
-553.000000,105.300000
-552.000000,104.700000
-551.000000,105.000000
-550.000000,107.300000
-547.000000,107.200000
-546.000000,109.000000
-545.000000,109.000000
-544.000000,110.000000
-543.000000,109.000000
-540.000000,109.000000
-539.000000,109.000000
-538.000000,109.500000
-537.000000,110.000000
-536.000000,109.000000
-533.000000,110.000000
-532.000000,110.000000
-531.000000,110.000000
-530.000000,111.000000
-529.000000,112.000000
-526.000000,110.000000
-525.000000,110.000000
-524.000000,109.000000
-523.000000,111.000000
-522.000000,111.100000
-519.000000,113.000000
-518.000000,113.000000
-517.000000,114.600000
-516.000000,114.000000
-515.000000,113.000000
-512.000000,113.000000
-511.000000,113.000000
-510.000000,113.000000
-509.000000,112.000000
-508.000000,112.000000
-505.000000,112.000000
-504.000000,111.800000
-503.000000,111.000000
-502.000000,111.000000
-501.000000,110.000000
-498.000000,112.000000
-497.000000,112.000000
-496.000000,110.100000
-495.000000,111.000000
-494.000000,111.900000
-491.000000,112.900000
-490.000000,112.900000
-489.000000,115.000000
-488.000000,118.000000
-487.000000,123.000000
-484.000000,123.000000
-483.000000,129.900000
-482.000000,129.300000
-481.000000,126.000000
-480.000000,124.000000
-477.000000,120.000000
-476.000000,120.600000
-475.000000,115.000000
-474.000000,116.000000
-473.000000,114.400000
-470.000000,112.400000
-469.000000,113.100000
-468.000000,115.900000
-467.000000,115.700000
-466.000000,113.500000
-463.000000,112.400000
-462.000000,113.400000
-461.000000,116.600000
-460.000000,115.200000
-459.000000,113.900000
-456.000000,112.700000
-455.000000,112.000000
-454.000000,110.900000
-453.000000,111.000000
-452.000000,112.000000
-449.000000,112.000000
-448.000000,112.000000
-447.000000,111.800000
-446.000000,112.000000
-445.000000,114.000000
-442.000000,114.000000
-441.000000,114.000000
-440.000000,114.000000
-439.000000,114.000000
-438.000000,115.000000
-435.000000,117.000000
-434.000000,116.900000
-433.000000,117.000000
-432.000000,118.000000
-431.000000,120.000000
-428.000000,120.900000
-427.000000,120.900000
-426.000000,121.000000
-425.000000,122.000000
-424.000000,120.900000
-421.000000,124.000000
-420.000000,123.600000
-419.000000,124.900000
-418.000000,123.900000
-417.000000,123.800000
-414.000000,122.800000
-413.000000,122.900000
-412.000000,120.900000
-411.000000,119.900000
-410.000000,119.900000
-407.000000,121.000000
-406.000000,119.900000
-405.000000,119.900000
-404.000000,120.900000
-403.000000,123.000000
-400.000000,123.000000
-399.000000,123.000000
-398.000000,123.000000
-397.000000,122.900000
-396.000000,122.000000
-393.000000,121.000000
-392.000000,120.900000
-391.000000,120.000000
-390.000000,121.000000
-389.000000,119.000000
-386.000000,122.000000
-385.000000,122.000000
-384.000000,121.900000
-383.000000,121.000000
-382.000000,119.200000
-379.000000,119.000000
-378.000000,119.000000
-377.000000,119.300000
-376.000000,120.000000
-375.000000,122.600000
-372.000000,122.600000
-371.000000,122.600000
-370.000000,123.000000
-369.000000,123.000000
-368.000000,123.000000
-365.000000,123.000000
-364.000000,123.500000
-363.000000,123.000000
-362.000000,121.000000
-361.000000,122.500000
-358.000000,119.900000
-357.000000,120.900000
-356.000000,121.800000
-355.000000,124.900000
-354.000000,123.500000
-351.000000,124.000000
-350.000000,124.900000
-349.000000,124.900000
-348.000000,124.900000
-347.000000,125.900000
-344.000000,126.600000
-343.000000,126.000000
-342.000000,126.600000
-341.000000,126.900000
-340.000000,126.800000
-337.000000,126.800000
-336.000000,127.000000
-335.000000,127.700000
-334.000000,126.000000
-333.000000,125.900000
-330.000000,126.000000
-329.000000,126.000000
-328.000000,125.900000
-327.000000,125.000000
-326.000000,123.200000
-323.000000,121.500000
-322.000000,120.900000
-321.000000,120.000000
-320.000000,119.900000
-319.000000,120.900000
-316.000000,120.900000
-315.000000,122.000000
-314.000000,121.900000
-313.000000,121.900000
-312.000000,123.600000
-309.000000,125.000000
-308.000000,125.500000
-307.000000,124.800000
-306.000000,124.700000
-305.000000,122.600000
-302.000000,122.900000
-301.000000,123.100000
-300.000000,124.600000
-299.000000,124.300000
-298.000000,125.200000
-295.000000,123.000000
-294.000000,123.400000
-293.000000,123.400000
-292.000000,124.200000
-291.000000,126.200000
-288.000000,127.000000
-287.000000,127.000000
-286.000000,127.000000
-285.000000,128.300000
-284.000000,129.900000
-281.000000,131.300000
-280.000000,130.800000
-279.000000,130.700000
-278.000000,131.200000
-277.000000,131.200000
-274.000000,132.100000
-273.000000,131.500000
-272.000000,132.100000
-271.000000,131.100000
-270.000000,131.200000
-267.000000,130.100000
-266.000000,129.700000
-265.000000,133.300000
-264.000000,134.600000
-263.000000,135.100000
-260.000000,135.600000
-259.000000,135.100000
-258.000000,134.300000
-257.000000,134.200000
-256.000000,135.300000
-253.000000,136.100000
-252.000000,136.500000
-251.000000,137.800000
-250.000000,137.500000
-249.000000,136.700000
-246.000000,137.400000
-245.000000,136.900000
-244.000000,137.400000
-243.000000,135.400000
-242.000000,135.100000
-239.000000,136.400000
-238.000000,136.000000
-237.000000,138.000000
-236.000000,136.100000
-235.000000,136.500000
-232.000000,137.800000
-231.000000,137.400000
-230.000000,137.500000
-229.000000,138.200000
-228.000000,139.100000
-225.000000,139.100000
-224.000000,139.200000
-223.000000,139.100000
-222.000000,140.100000
-221.000000,139.300000
-218.000000,137.100000
-217.000000,137.200000
-216.000000,137.300000
-215.000000,136.200000
-214.000000,136.700000
-211.000000,136.400000
-210.000000,135.900000
-209.000000,134.900000
-208.000000,135.300000
-207.000000,133.200000
-204.000000,135.500000
-203.000000,135.500000
-202.000000,134.700000
-201.000000,134.600000
-200.000000,135.400000
-197.000000,132.800000
-196.000000,132.800000
-195.000000,133.200000
-194.000000,133.700000
-193.000000,133.700000
-190.000000,136.000000
-189.000000,135.500000
-188.000000,134.400000
-187.000000,134.900000
-186.000000,137.300000
-183.000000,137.300000
-182.000000,138.300000
