Days since 2019 January 1,Cents per litre (CAN$?)
-560.000000,128.700000
-559.000000,129.300000
-558.000000,128.800000
-557.000000,128.700000
-554.000000,128.600000
-553.000000,128.300000
-552.000000,128.300000
-551.000000,130.400000
-550.000000,132.000000
-547.000000,132.000000
-546.000000,134.100000
-545.000000,134.500000
-544.000000,134.300000
-543.000000,133.700000
-540.000000,133.700000
-539.000000,133.600000
-538.000000,133.200000
-537.000000,133.100000
-536.000000,132.100000
-533.000000,132.300000
-532.000000,132.000000
-531.000000,131.800000
-530.000000,132.200000
-529.000000,132.400000
-526.000000,130.500000
-525.000000,131.200000
-524.000000,130.800000
-523.000000,131.500000
-522.000000,132.400000
-519.000000,133.900000
-518.000000,133.900000
-517.000000,134.500000
-516.000000,134.500000
-515.000000,134.500000
-512.000000,134.500000
-511.000000,136.700000
-510.000000,136.200000
-509.000000,135.900000
-508.000000,136.100000
-505.000000,136.800000
-504.000000,136.500000
-503.000000,136.600000
-502.000000,136.800000
-501.000000,138.000000
-498.000000,141.500000
-497.000000,141.500000
-496.000000,140.800000
-495.000000,140.500000
-494.000000,140.700000
-491.000000,139.900000
-490.000000,140.000000
-489.000000,137.300000
-488.000000,139.100000
-487.000000,140.100000
-484.000000,140.100000
-483.000000,144.100000
-482.000000,144.200000
-481.000000,141.900000
-480.000000,139.900000
-477.000000,137.800000
-476.000000,137.800000
-475.000000,137.600000
-474.000000,137.700000
-473.000000,137.500000
-470.000000,136.300000
-469.000000,136.600000
-468.000000,136.600000
-467.000000,135.700000
-466.000000,135.600000
-463.000000,134.300000
-462.000000,134.100000
-461.000000,133.800000
-460.000000,133.500000
-459.000000,133.500000
-456.000000,133.100000
-455.000000,133.300000
-454.000000,132.700000
-453.000000,133.500000
-452.000000,134.500000
-449.000000,134.500000
-448.000000,134.300000
-447.000000,133.800000
-446.000000,134.800000
-445.000000,135.900000
-442.000000,137.100000
-441.000000,137.200000
-440.000000,136.000000
-439.000000,137.400000
-438.000000,137.500000
-435.000000,138.500000
-434.000000,138.500000
-433.000000,139.300000
-432.000000,140.000000
-431.000000,141.400000
-428.000000,143.500000
-427.000000,143.700000
-426.000000,142.800000
-425.000000,143.800000
-424.000000,145.300000
-421.000000,145.500000
-420.000000,145.600000
-419.000000,143.800000
-418.000000,144.700000
-417.000000,145.500000
-414.000000,145.300000
-413.000000,145.600000
-412.000000,144.000000
-411.000000,139.800000
-410.000000,138.100000
-407.000000,138.600000
-406.000000,138.900000
-405.000000,135.900000
-404.000000,137.000000
-403.000000,137.200000
-400.000000,137.900000
-399.000000,137.800000
-398.000000,139.000000
-397.000000,139.400000
-396.000000,139.000000
-393.000000,138.500000
-392.000000,138.300000
-391.000000,136.800000
-390.000000,135.000000
-389.000000,132.300000
-386.000000,137.400000
-385.000000,137.500000
-384.000000,137.900000
-383.000000,137.500000
-382.000000,136.000000
-379.000000,135.800000
-378.000000,135.700000
-377.000000,135.300000
-376.000000,136.400000
-375.000000,137.300000
-372.000000,137.300000
-371.000000,137.300000
-370.000000,139.600000
-369.000000,139.600000
-368.000000,140.500000
-365.000000,140.500000
-364.000000,138.500000
-363.000000,138.200000
-362.000000,137.600000
-361.000000,138.800000
-358.000000,139.500000
-357.000000,139.600000
-356.000000,140.500000
-355.000000,142.000000
-354.000000,141.700000
-351.000000,141.700000
-350.000000,141.300000
-349.000000,141.600000
-348.000000,140.800000
-347.000000,139.800000
-344.000000,140.500000
-343.000000,140.500000
-342.000000,143.300000
-341.000000,144.400000
-340.000000,144.400000
-337.000000,147.000000
-336.000000,147.500000
-335.000000,147.700000
-334.000000,146.100000
-333.000000,146.800000
-330.000000,147.500000
-329.000000,147.500000
-328.000000,146.500000
-327.000000,144.800000
-326.000000,143.200000
-323.000000,141.000000
-322.000000,140.700000
-321.000000,140.700000
-320.000000,140.600000
-319.000000,141.400000
-316.000000,141.400000
-315.000000,142.500000
-314.000000,142.500000
-313.000000,143.500000
-312.000000,143.400000
-309.000000,148.500000
-308.000000,148.700000
-307.000000,149.200000
-306.000000,148.800000
-305.000000,147.900000
-302.000000,148.300000
-301.000000,148.300000
-300.000000,150.000000
-299.000000,149.800000
-298.000000,149.500000
-295.000000,149.000000
-294.000000,149.300000
-293.000000,149.200000
-292.000000,149.400000
-291.000000,151.400000
-288.000000,154.600000
-287.000000,154.600000
-286.000000,153.800000
-285.000000,155.500000
-284.000000,156.300000
-281.000000,153.800000
-280.000000,153.800000
-279.000000,152.500000
-278.000000,153.300000
-277.000000,153.300000
-274.000000,155.500000
-273.000000,155.600000
-272.000000,154.800000
-271.000000,153.800000
-270.000000,153.700000
-267.000000,152.000000
-266.000000,151.600000
-265.000000,151.600000
-264.000000,153.300000
-263.000000,153.500000
-260.000000,154.500000
-259.000000,154.500000
-258.000000,153.700000
-257.000000,153.700000
-256.000000,155.200000
-253.000000,157.300000
-252.000000,157.500000
-251.000000,158.500000
-250.000000,158.500000
-249.000000,158.500000
-246.000000,161.400000
-245.000000,161.100000
-244.000000,161.300000
-243.000000,160.000000
-242.000000,158.500000
-239.000000,159.500000
-238.000000,159.500000
-237.000000,159.500000
-236.000000,159.500000
-235.000000,160.400000
-232.000000,161.000000
-231.000000,161.400000
-230.000000,160.600000
-229.000000,160.500000
-228.000000,161.500000
-225.000000,161.500000
-224.000000,158.800000
-223.000000,158.600000
-222.000000,161.400000
-221.000000,161.400000
-218.000000,158.900000
-217.000000,158.500000
-216.000000,158.400000
-215.000000,157.500000
-214.000000,157.300000
-211.000000,155.500000
-210.000000,155.400000
-209.000000,154.600000
-208.000000,153.800000
-207.000000,152.300000
-204.000000,154.300000
-203.000000,154.400000
-202.000000,153.800000
-201.000000,153.700000
-200.000000,153.500000
-197.000000,151.700000
-196.000000,150.500000
-195.000000,152.500000
-194.000000,152.100000
-193.000000,152.400000
-190.000000,155.600000
-189.000000,155.500000
-188.000000,155.900000
-187.000000,157.000000
-186.000000,159.900000
-183.000000,159.900000
-182.000000,159.600000
-181.000000,159.500000
-180.000000,159.100000
-179.000000,159.400000
-176.000000,157.400000
-175.000000,157.500000
-174.000000,158.300000
-173.000000,157.500000
-172.000000,153.800000
-169.000000,156.400000
-168.000000,156.200000
-167.000000,153.000000
-166.000000,152.600000
-165.000000,152.600000
-162.000000,153.500000
-161.000000,153.400000
-160.000000,152.600000
-159.000000,152.500000
-158.000000,153.500000
-155.000000,155.900000
-154.000000,155.800000
-153.000000,153.800000
-152.000000,152.000000
-151.000000,149.900000
-148.000000,149.900000
-147.000000,150.800000
-146.000000,150.400000
-145.000000,151.300000
-144.000000,149.000000
-141.000000,149.100000
-140.000000,149.500000
-139.000000,148.600000
-138.000000,149.800000
-137.000000,149.000000
-134.000000,147.600000
-133.000000,147.500000
-132.000000,149.300000
-131.000000,149.400000
-130.000000,150.300000
-127.000000,150.400000
-126.000000,150.800000
-125.000000,150.900000
-124.000000,151.000000
-123.000000,155.500000
-120.000000,155.500000
-119.000000,152.300000
-118.000000,152.400000
-117.000000,153.600000
-116.000000,152.000000
-113.000000,152.300000
-112.000000,152.300000
-111.000000,151.500000
-110.000000,152.200000
-109.000000,152.500000
-106.000000,150.800000
-105.000000,150.500000
-104.000000,150.400000
-103.000000,151.200000
-102.000000,150.500000
-99.000000,151.300000
-98.000000,151.400000
-97.000000,151.700000
-96.000000,153.600000
-95.000000,153.100000
-92.000000,154.100000
-91.000000,153.800000
-90.000000,155.400000
-89.000000,156.900000
-88.000000,157.000000
-85.000000,157.000000
-84.000000,158.400000
-83.000000,158.100000
-82.000000,157.300000
-81.000000,160.700000
-78.000000,160.900000
-77.000000,162.100000
-76.000000,156.700000
-75.000000,155.900000
-74.000000,151.800000
-71.000000,155.600000
-70.000000,154.800000
-69.000000,152.000000
-68.000000,150.100000
-67.000000,149.000000
-64.000000,152.700000
-63.000000,152.100000
-62.000000,151.000000
-61.000000,151.400000
-60.000000,150.100000
-57.000000,144.500000
-56.000000,145.300000
-55.000000,144.000000
-54.000000,146.100000
-53.000000,143.800000
-50.000000,142.800000
-49.000000,143.400000
-48.000000,144.100000
-47.000000,139.400000
-46.000000,138.800000
-43.000000,139.400000
-42.000000,139.400000
-41.000000,141.800000
-40.000000,139.400000
-39.000000,142.000000
-36.000000,137.600000
-35.000000,137.400000
-34.000000,138.300000
-33.000000,137.800000
-32.000000,136.100000
-29.000000,136.400000
-28.000000,136.400000
-27.000000,136.500000
-26.000000,135.700000
-25.000000,135.700000
-22.000000,135.900000
-21.000000,135.900000
-20.000000,132.800000
-19.000000,131.600000
-18.000000,131.500000
-15.000000,147.100000
-14.000000,146.300000
-13.000000,147.400000
-12.000000,144.300000
-11.000000,144.500000
-8.000000,140.600000
-7.000000,140.600000
-6.000000,140.600000
-5.000000,140.900000
-4.000000,140.400000
-1.000000,132.800000
0.000000,132.800000
1.000000,131.100000
2.000000,130.400000
3.000000,134.100000
6.000000,133.200000
7.000000,133.500000
8.000000,131.700000
9.000000,131.000000
10.000000,132.400000
13.000000,130.600000
14.000000,131.300000
15.000000,128.500000
16.000000,131.300000
17.000000,132.200000
20.000000,134.500000
21.000000,134.500000
22.000000,134.900000
23.000000,134.000000
24.000000,132.500000
27.000000,132.900000
28.000000,132.400000
29.000000,129.500000
30.000000,128.300000
31.000000,131.000000
34.000000,133.800000
35.000000,133.900000
36.000000,136.000000
37.000000,135.200000
38.000000,136.300000
41.000000,133.600000
42.000000,133.400000
43.000000,131.700000
44.000000,131.500000
45.000000,132.200000
48.000000,132.200000
49.000000,136.100000
50.000000,135.800000
51.000000,133.700000
52.000000,133.500000
55.000000,137.400000
56.000000,137.900000
57.000000,135.300000
58.000000,135.900000
59.000000,137.000000
62.000000,142.300000
63.000000,142.600000
64.000000,144.600000
65.000000,144.500000
66.000000,146.000000
69.000000,147.300000
70.000000,147.500000
71.000000,147.900000
72.000000,147.200000
73.000000,147.800000
76.000000,151.600000
77.000000,151.300000
78.000000,151.800000
79.000000,153.100000
80.000000,153.300000
83.000000,157.300000
84.000000,157.800000
85.000000,157.800000
86.000000,157.500000
87.000000,157.000000
90.000000,158.500000
91.000000,158.600000
92.000000,160.600000
93.000000,162.100000
94.000000,162.700000
97.000000,164.400000
98.000000,164.300000
99.000000,164.800000
100.000000,165.400000
101.000000,167.400000
104.000000,168.900000
105.000000,169.800000
106.000000,170.500000
107.000000,169.800000
108.000000,169.800000
111.000000,172.900000
112.000000,172.800000
113.000000,172.700000
114.000000,172.200000
115.000000,172.900000
118.000000,170.800000
119.000000,170.900000
120.000000,170.500000
121.000000,171.600000
122.000000,171.500000
125.000000,169.300000
126.000000,169.000000
127.000000,169.800000
128.000000,168.900000
129.000000,169.700000
132.000000,169.800000
133.000000,169.800000
134.000000,169.500000
135.000000,169.300000
136.000000,170.500000
139.000000,170.500000
140.000000,171.700000
141.000000,171.500000
142.000000,168.800000
143.000000,167.000000
146.000000,165.600000
147.000000,165.900000
148.000000,165.800000
149.000000,166.800000
150.000000,165.700000
153.000000,157.300000
154.000000,156.900000
155.000000,155.300000
156.000000,148.800000
157.000000,148.000000
160.000000,146.800000
161.000000,146.300000
162.000000,145.000000
163.000000,146.100000
164.000000,145.000000
167.000000,145.600000
168.000000,145.900000
169.000000,142.700000
170.000000,143.500000
171.000000,144.800000
174.000000,149.800000
175.000000,149.800000
176.000000,149.000000
177.000000,150.800000
178.000000,152.100000
182.000000,154.700000
183.000000,154.900000
184.000000,152.700000
185.000000,154.300000
188.000000,153.900000
189.000000,154.500000
190.000000,153.800000
191.000000,152.700000
192.000000,155.500000
195.000000,152.700000
196.000000,152.900000
197.000000,150.400000
198.000000,148.700000
199.000000,148.600000
202.000000,148.200000
203.000000,148.400000
204.000000,147.800000
205.000000,148.200000
206.000000,148.500000
209.000000,150.800000
210.000000,150.800000
211.000000,150.800000
212.000000,151.700000
213.000000,152.000000
216.000000,152.000000
217.000000,150.800000
218.000000,150.300000
219.000000,146.800000
220.000000,145.000000
223.000000,146.300000
224.000000,146.800000
225.000000,147.400000
226.000000,149.000000
227.000000,147.000000
230.000000,146.000000
231.000000,146.800000
232.000000,146.800000
233.000000,147.400000
234.000000,147.800000
237.000000,147.500000
238.000000,147.500000
239.000000,147.800000
240.000000,148.400000
241.000000,152.600000
244.000000,152.600000
245.000000,153.700000
246.000000,153.600000
247.000000,151.300000
248.000000,153.300000
251.000000,154.800000
252.000000,154.800000
253.000000,153.000000
254.000000,152.300000
255.000000,151.100000
