Days since 2019 January 1,Cents per litre (CAN$?)
-560.000000,107.500000
-559.000000,107.600000
-558.000000,106.700000
-557.000000,106.100000
-554.000000,105.800000
-553.000000,106.400000
-552.000000,108.000000
-551.000000,108.400000
-550.000000,109.200000
-547.000000,109.100000
-546.000000,108.700000
-545.000000,109.700000
-544.000000,112.000000
-543.000000,111.200000
-540.000000,110.300000
-539.000000,109.600000
-538.000000,110.800000
-537.000000,111.000000
-536.000000,109.400000
-533.000000,108.800000
-532.000000,109.800000
-531.000000,110.700000
-530.000000,110.800000
-529.000000,110.400000
-526.000000,108.600000
-525.000000,108.500000
-524.000000,109.400000
-523.000000,110.400000
-522.000000,109.800000
-519.000000,109.800000
-518.000000,111.000000
-517.000000,114.700000
-516.000000,114.900000
-515.000000,113.800000
-512.000000,113.800000
-511.000000,113.200000
-510.000000,114.000000
-509.000000,114.500000
-508.000000,113.900000
-505.000000,113.000000
-504.000000,112.500000
-503.000000,111.800000
-502.000000,112.800000
-501.000000,112.900000
-498.000000,113.200000
-497.000000,112.700000
-496.000000,111.400000
-495.000000,111.500000
-494.000000,114.100000
-491.000000,113.300000
-490.000000,112.900000
-489.000000,116.200000
-488.000000,119.300000
-487.000000,123.300000
-484.000000,123.300000
-483.000000,125.900000
-482.000000,127.000000
-481.000000,126.200000
-480.000000,124.600000
-477.000000,120.900000
-476.000000,120.600000
-475.000000,117.900000
-474.000000,117.400000
-473.000000,115.700000
-470.000000,113.500000
-469.000000,113.200000
-468.000000,115.500000
-467.000000,115.200000
-466.000000,113.800000
-463.000000,112.500000
-462.000000,113.800000
-461.000000,116.700000
-460.000000,116.200000
-459.000000,115.200000
-456.000000,113.800000
-455.000000,113.000000
-454.000000,113.000000
-453.000000,113.200000
-452.000000,113.300000
-449.000000,113.300000
-448.000000,111.900000
-447.000000,112.700000
-446.000000,113.600000
-445.000000,114.700000
-442.000000,113.400000
-441.000000,114.000000
-440.000000,114.600000
-439.000000,114.700000
-438.000000,116.000000
-435.000000,116.200000
-434.000000,117.700000
-433.000000,118.500000
-432.000000,118.900000
-431.000000,119.200000
-428.000000,118.800000
-427.000000,121.800000
-426.000000,122.900000
-425.000000,123.700000
-424.000000,125.400000
-421.000000,125.800000
-420.000000,126.600000
-419.000000,126.900000
-418.000000,126.100000
-417.000000,125.700000
-414.000000,124.300000
-413.000000,124.200000
-412.000000,124.300000
-411.000000,123.600000
-410.000000,122.500000
-407.000000,121.200000
-406.000000,120.500000
-405.000000,121.100000
-404.000000,121.500000
-403.000000,121.600000
-400.000000,120.800000
-399.000000,121.500000
-398.000000,122.100000
-397.000000,121.600000
-396.000000,120.400000
-393.000000,119.100000
-392.000000,119.800000
-391.000000,119.600000
-390.000000,119.300000
-389.000000,117.800000
-386.000000,119.300000
-385.000000,120.600000
-384.000000,121.100000
-383.000000,120.000000
-382.000000,117.600000
-379.000000,116.300000
-378.000000,117.300000
-377.000000,119.100000
-376.000000,119.700000
-375.000000,121.000000
-372.000000,121.000000
-371.000000,121.000000
-370.000000,120.700000
-369.000000,122.400000
-368.000000,123.000000
-365.000000,123.000000
-364.000000,121.400000
-363.000000,122.000000
-362.000000,121.600000
-361.000000,122.000000
-358.000000,120.200000
-357.000000,121.400000
-356.000000,122.100000
-355.000000,123.100000
-354.000000,123.400000
-351.000000,122.400000
-350.000000,123.800000
-349.000000,124.200000
-348.000000,123.800000
-347.000000,123.600000
-344.000000,123.200000
-343.000000,124.500000
-342.000000,126.700000
-341.000000,126.900000
-340.000000,126.200000
-337.000000,125.200000
-336.000000,127.100000
-335.000000,127.900000
-334.000000,126.800000
-333.000000,125.600000
-330.000000,124.600000
-329.000000,126.400000
-328.000000,125.600000
-327.000000,124.200000
-326.000000,122.700000
-323.000000,120.400000
-322.000000,120.800000
-321.000000,121.000000
-320.000000,121.300000
-319.000000,121.400000
-316.000000,121.400000
-315.000000,120.800000
-314.000000,122.600000
-313.000000,122.900000
-312.000000,122.800000
-309.000000,123.100000
-308.000000,124.300000
-307.000000,125.900000
-306.000000,126.000000
-305.000000,124.300000
-302.000000,122.900000
-301.000000,124.300000
-300.000000,125.900000
-299.000000,124.600000
-298.000000,124.400000
-295.000000,122.200000
-294.000000,123.800000
-293.000000,125.000000
-292.000000,125.500000
-291.000000,126.300000
-288.000000,126.900000
-287.000000,128.600000
-286.000000,128.400000
-285.000000,128.900000
-284.000000,130.100000
-281.000000,130.400000
-280.000000,132.000000
-279.000000,131.600000
-278.000000,131.500000
-277.000000,131.500000
-274.000000,131.200000
-273.000000,132.300000
-272.000000,132.400000
-271.000000,132.400000
-270.000000,132.100000
-267.000000,130.200000
-266.000000,131.300000
-265.000000,132.800000
-264.000000,133.200000
-263.000000,135.300000
-260.000000,135.900000
-259.000000,135.100000
-258.000000,134.400000
-257.000000,135.700000
-256.000000,136.200000
-253.000000,135.500000
-252.000000,138.200000
-251.000000,139.700000
-250.000000,139.000000
-249.000000,138.200000
-246.000000,137.600000
-245.000000,138.700000
-244.000000,139.200000
-243.000000,138.400000
-242.000000,138.200000
-239.000000,137.700000
-238.000000,138.400000
-237.000000,139.400000
-236.000000,138.100000
-235.000000,138.700000
-232.000000,137.900000
-231.000000,139.500000
-230.000000,139.300000
-229.000000,140.200000
-228.000000,140.900000
-225.000000,140.900000
-224.000000,139.200000
-223.000000,140.900000
-222.000000,141.800000
-221.000000,140.800000
-218.000000,138.100000
-217.000000,137.600000
-216.000000,138.400000
-215.000000,138.500000
-214.000000,138.000000
-211.000000,136.600000
-210.000000,135.900000
-209.000000,136.100000
-208.000000,136.500000
-207.000000,134.700000
-204.000000,135.000000
-203.000000,136.400000
-202.000000,135.900000
-201.000000,136.000000
-200.000000,137.300000
-197.000000,135.100000
-196.000000,134.300000
-195.000000,136.200000
-194.000000,136.500000
-193.000000,135.700000
-190.000000,136.000000
-189.000000,135.200000
-188.000000,136.200000
-187.000000,136.700000
-186.000000,137.800000
-183.000000,137.800000
-182.000000,136.600000
-181.000000,139.500000
-180.000000,140.600000
-179.000000,140.400000
-176.000000,138.800000
-175.000000,138.300000
-174.000000,139.700000
-173.000000,139.900000
-172.000000,137.200000
-169.000000,136.400000
-168.000000,137.400000
-167.000000,135.300000
-166.000000,135.000000
-165.000000,134.900000
-162.000000,134.300000
-161.000000,133.600000
-160.000000,133.500000
-159.000000,133.200000
-158.000000,135.500000
-155.000000,138.900000
-154.000000,138.200000
-153.000000,137.400000
-152.000000,136.300000
-151.000000,134.700000
-148.000000,134.700000
-147.000000,134.100000
-146.000000,136.200000
-145.000000,136.800000
-144.000000,134.800000
-141.000000,134.200000
-140.000000,134.000000
-139.000000,134.200000
-138.000000,136.100000
-137.000000,134.500000
-134.000000,133.200000
-133.000000,132.500000
-132.000000,133.200000
-131.000000,134.900000
-130.000000,136.400000
-127.000000,134.900000
-126.000000,135.700000
-125.000000,136.300000
-124.000000,135.300000
-123.000000,135.800000
-120.000000,135.800000
-119.000000,134.300000
-118.000000,135.500000
-117.000000,138.100000
-116.000000,137.400000
-113.000000,135.900000
-112.000000,136.400000
-111.000000,135.500000
-110.000000,135.300000
-109.000000,134.300000
-106.000000,131.400000
-105.000000,131.200000
-104.000000,130.600000
-103.000000,133.200000
-102.000000,133.000000
-99.000000,132.000000
-98.000000,131.600000
-97.000000,133.800000
-96.000000,133.700000
-95.000000,133.200000
-92.000000,132.400000
-91.000000,133.300000
-90.000000,134.100000
-89.000000,135.300000
-88.000000,135.800000
-85.000000,135.800000
-84.000000,133.600000
-83.000000,135.200000
-82.000000,134.500000
-81.000000,133.900000
-78.000000,130.600000
-77.000000,130.600000
-76.000000,129.500000
-75.000000,129.100000
-74.000000,127.200000
-71.000000,126.700000
-70.000000,126.400000
-69.000000,125.500000
-68.000000,123.500000
-67.000000,122.600000
-64.000000,123.000000
-63.000000,123.500000
-62.000000,123.500000
-61.000000,123.700000
-60.000000,122.600000
-57.000000,120.900000
-56.000000,121.700000
-55.000000,120.500000
-54.000000,120.300000
-53.000000,118.800000
-50.000000,118.200000
-49.000000,118.300000
-48.000000,118.300000
-47.000000,115.500000
-46.000000,115.300000
-43.000000,115.600000
-42.000000,115.000000
-41.000000,115.400000
-40.000000,113.700000
-39.000000,114.400000
-36.000000,110.800000
-35.000000,110.700000
-34.000000,111.200000
-33.000000,110.500000
-32.000000,109.700000
-29.000000,110.500000
-28.000000,109.800000
-27.000000,109.900000
-26.000000,109.800000
-25.000000,110.600000
-22.000000,111.400000
-21.000000,111.600000
-20.000000,110.100000
-19.000000,109.700000
-18.000000,109.100000
-15.000000,111.000000
-14.000000,111.000000
-13.000000,111.400000
-12.000000,109.500000
-11.000000,110.100000
-8.000000,107.900000
-7.000000,107.900000
-6.000000,107.900000
-5.000000,107.500000
-4.000000,107.300000
-1.000000,106.000000
0.000000,106.000000
1.000000,105.500000
2.000000,105.800000
3.000000,106.600000
6.000000,107.200000
7.000000,106.900000
8.000000,106.400000
9.000000,106.100000
10.000000,107.400000
13.000000,106.700000
14.000000,105.900000
15.000000,105.000000
16.000000,106.700000
17.000000,107.100000
20.000000,108.300000
21.000000,108.800000
22.000000,109.000000
23.000000,107.200000
24.000000,106.300000
27.000000,105.600000
28.000000,106.000000
29.000000,104.600000
30.000000,104.800000
31.000000,105.900000
34.000000,105.900000
35.000000,105.400000
36.000000,106.100000
37.000000,105.700000
38.000000,106.700000
41.000000,106.000000
42.000000,106.000000
43.000000,105.700000
44.000000,106.000000
45.000000,108.800000
48.000000,108.800000
49.000000,113.100000
50.000000,112.900000
51.000000,112.400000
52.000000,113.100000
55.000000,114.000000
56.000000,114.200000
57.000000,112.600000
58.000000,113.500000
59.000000,114.700000
62.000000,115.800000
63.000000,115.800000
64.000000,116.900000
65.000000,117.800000
66.000000,118.700000
69.000000,119.600000
70.000000,120.300000
71.000000,121.600000
72.000000,122.200000
73.000000,122.700000
76.000000,123.700000
77.000000,123.300000
78.000000,124.200000
79.000000,125.000000
80.000000,126.200000
83.000000,127.400000
84.000000,127.300000
85.000000,127.800000
86.000000,128.000000
87.000000,126.700000
90.000000,128.200000
91.000000,128.600000
92.000000,128.400000
93.000000,129.000000
94.000000,130.400000
97.000000,131.100000
98.000000,131.000000
99.000000,131.100000
100.000000,131.300000
101.000000,133.100000
104.000000,132.400000
105.000000,132.800000
106.000000,134.700000
107.000000,135.400000
108.000000,135.400000
111.000000,136.600000
112.000000,136.700000
113.000000,137.900000
114.000000,138.300000
115.000000,138.300000
118.000000,137.800000
119.000000,137.700000
120.000000,136.500000
121.000000,138.100000
122.000000,137.600000
125.000000,135.600000
126.000000,135.500000
127.000000,134.700000
128.000000,133.500000
129.000000,133.900000
132.000000,133.800000
133.000000,133.400000
134.000000,133.100000
135.000000,133.300000
136.000000,134.000000
139.000000,134.000000
140.000000,134.800000
141.000000,134.600000
142.000000,134.100000
143.000000,132.900000
146.000000,130.800000
147.000000,131.000000
148.000000,131.000000
149.000000,130.800000
150.000000,130.700000
153.000000,125.200000
154.000000,125.200000
155.000000,123.900000
156.000000,121.400000
157.000000,120.500000
160.000000,120.100000
161.000000,119.800000
162.000000,119.500000
163.000000,120.100000
164.000000,118.400000
167.000000,119.500000
168.000000,119.600000
169.000000,118.600000
170.000000,119.500000
171.000000,120.400000
174.000000,123.500000
175.000000,123.500000
176.000000,123.900000
177.000000,125.300000
178.000000,127.000000
182.000000,126.500000
183.000000,126.600000
184.000000,125.900000
185.000000,127.500000
188.000000,127.900000
189.000000,127.600000
190.000000,128.100000
191.000000,128.600000
192.000000,130.900000
195.000000,129.900000
196.000000,129.800000
197.000000,128.300000
198.000000,127.200000
199.000000,126.300000
202.000000,125.300000
203.000000,125.000000
204.000000,124.900000
205.000000,125.600000
206.000000,125.400000
209.000000,126.300000
210.000000,125.900000
211.000000,125.700000
212.000000,126.300000
213.000000,126.700000
216.000000,126.700000
217.000000,124.800000
218.000000,124.800000
219.000000,121.000000
220.000000,118.600000
223.000000,119.700000
224.000000,119.800000
225.000000,119.600000
226.000000,120.900000
227.000000,119.700000
230.000000,119.000000
231.000000,118.900000
232.000000,119.100000
233.000000,119.900000
234.000000,120.100000
237.000000,118.900000
238.000000,118.800000
239.000000,117.400000
240.000000,118.500000
241.000000,120.200000
244.000000,120.200000
245.000000,118.700000
246.000000,118.700000
247.000000,117.000000
248.000000,117.800000
251.000000,119.300000
252.000000,120.000000
253.000000,120.000000
254.000000,120.500000
255.000000,119.700000
